Industry,Region,Year,ESG_Overall,ESG_Environmental,CarbonEmissions,WaterUsage,EnergyConsumption
Retail,Latin America,2015,57.0,60.7,35577.4,17788.7,71154.7
Retail,Latin America,2016,56.7,58.9,37314.7,18657.4,74629.4
Retail,Latin America,2017,56.5,57.6,45006.4,22503.2,90012.9
Retail,Latin America,2018,58.0,62.3,42650.1,21325.1,85300.2
Retail,Latin America,2019,56.6,63.7,41799.4,20899.7,83598.8
Retail,Latin America,2020,55.7,65.1,42245.4,21122.7,84490.9
Retail,Latin America,2021,55.6,66.8,44263.8,22131.9,88527.7
Retail,Latin America,2022,57.7,69.0,42536.3,21268.2,85072.6
Retail,Latin America,2023,57.8,68.3,45956.3,22978.2,91912.6
Retail,Latin America,2024,58.5,68.9,49289.1,24644.5,98578.1
Retail,Latin America,2025,59.2,70.7,51805.8,25902.9,103611.7
Retail,Asia,2015,59.9,61.1,226554.2,113277.1,453108.3
Retail,Asia,2016,60.6,61.1,242555.1,121277.6,485110.3
Retail,Asia,2017,61.7,61.4,266651.3,133325.7,533302.7
Retail,Asia,2018,61.5,61.7,225701.3,112850.6,451402.6
Retail,Asia,2019,61.1,63.1,237019.5,118509.7,474039.0
Retail,Asia,2020,63.3,64.2,225128.2,112564.1,450256.4
Retail,Asia,2021,63.0,62.9,240710.6,120355.3,481421.2
Retail,Asia,2022,64.0,66.7,227761.4,113880.7,455522.7
Retail,Asia,2023,66.0,66.6,271015.1,135507.6,542030.3
Retail,Asia,2024,65.7,65.4,283660.0,141830.0,567320.0
Retail,Asia,2025,66.3,65.8,323282.0,161641.0,646564.1
Transportation,Latin America,2015,25.5,3.3,183314.5,30552.4,611048.2
Transportation,Latin America,2016,26.9,7.0,169346.3,28224.4,564487.8
Transportation,Latin America,2017,27.9,8.8,192824.3,32137.4,642747.8
Transportation,Latin America,2018,28.2,8.3,205699.6,34283.3,685665.5
Transportation,Latin America,2019,29.8,14.8,212286.3,35381.0,707621.0
Transportation,Latin America,2020,30.8,17.7,218171.7,36362.0,727239.0
Transportation,Latin America,2021,31.6,18.5,223833.0,37305.5,746110.0
Transportation,Latin America,2022,31.3,18.8,249794.5,41632.4,832648.3
Transportation,Latin America,2023,32.3,20.2,263632.1,43938.7,878773.7
Transportation,Latin America,2024,32.1,23.4,272361.8,45393.6,907872.8
Transportation,Latin America,2025,34.3,24.4,296242.0,49373.7,987473.3
Technology,Africa,2015,54.2,97.6,130146.6,78087.9,260293.2
Technology,Africa,2016,54.6,98.9,131888.8,79133.3,263777.6
Technology,Africa,2017,55.9,100.0,137428.2,82456.9,274856.3
Technology,Africa,2018,55.6,99.7,150000.0,90000.0,300000.0
Technology,Africa,2019,56.0,100.0,163234.8,97940.9,326469.6
Technology,Africa,2020,58.4,100.0,153087.8,91852.7,306175.6
Technology,Africa,2021,60.0,100.0,144607.6,86764.6,289215.2
Technology,Africa,2022,60.5,100.0,142781.6,85669.0,285563.2
Technology,Africa,2023,62.6,100.0,146104.4,87662.6,292208.7
Technology,Africa,2024,63.5,100.0,163877.9,98326.7,327755.8
Technology,Africa,2025,64.1,100.0,191891.1,115134.7,383782.3
Finance,Middle East,2015,43.5,71.9,37894.7,18947.3,94736.7
Finance,Middle East,2016,42.5,74.2,36048.3,18024.2,90120.8
Finance,Middle East,2017,44.3,74.7,34565.5,17282.7,86413.7
Finance,Middle East,2018,45.4,75.8,36945.9,18472.9,92364.7
Finance,Middle East,2019,46.0,77.0,36325.1,18162.6,90812.9
Finance,Middle East,2020,46.8,75.5,43534.1,21767.0,108835.2
Finance,Middle East,2021,47.5,78.5,40596.3,20298.2,101490.8
Finance,Middle East,2022,47.6,78.4,40314.0,20157.0,100785.1
Finance,Middle East,2023,45.9,76.5,43628.2,21814.1,109070.6
Finance,Middle East,2024,47.4,80.4,41818.8,20909.4,104546.9
Finance,Middle East,2025,48.0,82.1,39561.3,19780.6,98903.2
Transportation,Oceania,2015,69.1,56.9,1125550.2,187591.7,3751834.0
Transportation,Oceania,2016,68.4,56.1,1246956.8,207826.1,4156522.6
Transportation,Oceania,2017,68.7,60.3,1171117.0,195186.2,3903723.3
Transportation,Oceania,2018,66.9,60.0,1157116.5,192852.8,3857055.1
Transportation,Oceania,2019,68.7,62.3,1191171.2,198528.5,3970570.6
Transportation,Oceania,2020,70.5,64.0,1156823.6,192803.9,3856078.8
Transportation,Oceania,2021,70.8,64.2,1110593.7,185099.0,3701979.0
Transportation,Oceania,2022,72.5,68.4,1188684.3,198114.0,3962281.0
Transportation,Oceania,2023,71.7,68.1,1305812.3,217635.4,4352707.7
Transportation,Oceania,2024,69.5,62.2,1420617.4,236769.6,4735391.3
Transportation,Oceania,2025,73.1,68.2,1428863.2,238143.9,4762877.2
Healthcare,Oceania,2015,53.0,74.6,316163.3,316163.3,632326.6
