Industry,Region,Year,ESG_Overall,ESG_Environmental,CarbonEmissions,WaterUsage,EnergyConsumption,total_data_centers,hyperscale_data_centers,colocation_data_centers,floor_space_sqft_total,power_capacity_MW_total,average_renewable_energy_usage_percent,internet_penetration_percent,growth_rate_of_data_centers_percent_per_year
Technology,Africa,2015,54.2,97.6,130146.6,78087.9,260293.2,218,5,178,11746184.0,910.0,28.572549019607845,40.05960784313726,322.3913725490196
Technology,Africa,2016,54.6,98.9,131888.8,79133.3,263777.6,218,5,178,11746184.0,910.0,28.572549019607845,40.05960784313726,322.3913725490196
Technology,Africa,2017,55.9,100.0,137428.2,82456.9,274856.3,218,5,178,11746184.0,910.0,28.572549019607845,40.05960784313726,322.3913725490196
Technology,Africa,2018,55.6,99.7,150000.0,90000.0,300000.0,218,5,178,11746184.0,910.0,28.572549019607845,40.05960784313726,322.3913725490196
Technology,Africa,2019,56.0,100.0,163234.8,97940.9,326469.6,218,5,178,11746184.0,910.0,28.572549019607845,40.05960784313726,322.3913725490196
Technology,Africa,2020,58.4,100.0,153087.8,91852.7,306175.6,218,5,178,11746184.0,910.0,28.572549019607845,40.05960784313726,322.3913725490196
Technology,Africa,2021,60.0,100.0,144607.6,86764.6,289215.2,218,5,178,11746184.0,910.0,28.572549019607845,40.05960784313726,322.3913725490196
Technology,Africa,2022,60.5,100.0,142781.6,85669.0,285563.2,218,5,178,11746184.0,910.0,28.572549019607845,40.05960784313726,322.3913725490196
Technology,Africa,2023,62.6,100.0,146104.4,87662.6,292208.7,218,5,178,11746184.0,910.0,28.572549019607845,40.05960784313726,322.3913725490196
Technology,Africa,2024,63.5,100.0,163877.9,98326.7,327755.8,218,5,178,11746184.0,910.0,28.572549019607845,40.05960784313726,322.3913725490196
Technology,Africa,2025,64.1,100.0,191891.1,115134.7,383782.3,218,5,178,11746184.0,910.0,28.572549019607845,40.05960784313726,322.3913725490196
Technology,North America,2015,59.8,37.8,69681.3,41808.8,139362.7,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2016,58.8,38.0,82263.8,49358.3,164527.5,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2017,60.2,37.2,97986.2,58791.7,195972.4,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2018,63.5,40.8,117733.8,70640.3,235467.6,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2019,63.3,40.5,147097.1,88258.2,294194.1,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2020,63.1,39.7,165277.3,99166.4,330554.5,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2021,63.8,39.7,202835.4,121701.3,405670.9,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2022,65.3,43.5,209222.4,125533.4,418444.8,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2023,63.3,45.0,225770.9,135462.6,451541.9,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2024,63.2,45.6,257772.5,154663.5,515545.0,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2025,63.5,48.4,291193.2,174715.9,582386.4,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,Latin America,2015,62.2,81.7,1530517.6,918310.6,3061035.3,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2016,64.8,79.6,1803672.0,1082203.2,3607344.1,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2017,65.0,79.2,1955375.5,1173225.3,3910751.0,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2018,65.1,79.7,2109725.6,1265835.4,4219451.2,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2019,64.2,77.8,2374857.6,1424914.5,4749715.1,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2020,65.8,81.3,2492114.3,1495268.6,4984228.6,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2021,67.0,81.8,2497067.9,1498240.8,4994135.9,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2022,67.1,79.8,2998092.6,1798855.6,5996185.2,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2023,67.4,79.5,3476430.3,2085858.2,6952860.6,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2024,68.6,77.8,3864217.0,2318530.2,7728434.0,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2025,69.6,80.9,3319085.3,1991451.2,6638170.6,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2015,48.7,91.8,1931859.7,1159115.8,3863719.4,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2016,48.9,91.9,2004620.0,1202772.0,4009239.9,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2017,49.9,91.8,2033473.4,1220084.0,4066946.7,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2018,51.2,94.5,2168207.9,1300924.7,4336415.8,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2019,51.0,93.0,2551607.4,1530964.5,5103214.9,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2020,52.0,91.9,2738517.5,1643110.5,5477035.0,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2021,52.9,89.0,3524270.2,2114562.1,7048540.4,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2022,54.6,87.9,3657244.2,2194346.5,7314488.5,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2023,56.1,89.8,4101768.5,2461061.1,8203537.1,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2024,55.2,88.1,4514092.8,2708455.7,9028185.7,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2025,57.1,91.2,5078874.7,3047324.8,10157749.4,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,North America,2015,59.6,96.8,116153.9,69692.3,232307.8,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2016,61.5,98.4,132261.8,79357.1,264523.6,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2017,61.1,97.2,123996.5,74397.9,247993.0,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2018,62.0,96.8,138073.3,82844.0,276146.6,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2019,62.1,96.0,145797.7,87478.6,291595.4,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2020,61.9,96.3,158387.9,95032.8,316775.9,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2021,61.9,97.8,170326.4,102195.8,340652.7,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2022,63.1,100.0,171627.8,102976.7,343255.6,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2023,63.4,100.0,187175.5,112305.3,374351.0,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2024,65.0,100.0,182931.2,109758.7,365862.3,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,North America,2025,65.8,100.0,214537.3,128722.4,429074.6,5935,323,2132,3656000000.0,12800.0,24.26,86.66666666666667,11.666666666666666
Technology,Middle East,2015,49.8,84.2,359647.0,215788.2,719294.1,211,7,207,6015200.0,1911.0,59.95125,80.19375,776.1475
Technology,Middle East,2016,49.7,84.8,356269.3,213761.6,712538.7,211,7,207,6015200.0,1911.0,59.95125,80.19375,776.1475
Technology,Middle East,2017,50.9,85.4,388660.6,233196.4,777321.3,211,7,207,6015200.0,1911.0,59.95125,80.19375,776.1475
Technology,Middle East,2018,51.3,88.1,395692.2,237415.3,791384.4,211,7,207,6015200.0,1911.0,59.95125,80.19375,776.1475
Technology,Middle East,2019,51.7,86.5,386946.2,232167.7,773892.4,211,7,207,6015200.0,1911.0,59.95125,80.19375,776.1475
Technology,Middle East,2020,52.7,88.2,393204.2,235922.5,786408.3,211,7,207,6015200.0,1911.0,59.95125,80.19375,776.1475
Technology,Middle East,2021,55.4,89.5,427041.5,256224.9,854082.9,211,7,207,6015200.0,1911.0,59.95125,80.19375,776.1475
Technology,Middle East,2022,55.8,87.1,443042.0,265825.2,886083.9,211,7,207,6015200.0,1911.0,59.95125,80.19375,776.1475
Technology,Middle East,2023,56.8,88.4,436094.0,261656.4,872188.0,211,7,207,6015200.0,1911.0,59.95125,80.19375,776.1475
Technology,Middle East,2024,56.6,88.3,483961.6,290376.9,967923.1,211,7,207,6015200.0,1911.0,59.95125,80.19375,776.1475
Technology,Middle East,2025,56.7,91.0,475072.2,285043.3,950144.4,211,7,207,6015200.0,1911.0,59.95125,80.19375,776.1475
Technology,Latin America,2015,74.6,98.8,68384.6,41030.7,136769.2,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2016,76.4,100.0,74579.3,44747.6,149158.6,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2017,77.6,99.5,82294.9,49376.9,164589.7,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2018,76.6,99.7,84066.9,50440.1,168133.7,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2019,78.0,100.0,96518.9,57911.3,193037.7,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2020,77.8,99.5,111191.5,66714.9,222382.9,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2021,78.3,100.0,111232.0,66739.2,222464.0,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2022,79.9,100.0,118156.4,70893.8,236312.8,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2023,79.6,100.0,133506.6,80104.0,267013.2,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2024,80.8,100.0,150839.2,90503.5,301678.3,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2025,81.7,100.0,166854.3,100112.6,333708.6,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2015,50.6,90.4,51861.8,31117.1,103723.6,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2016,51.3,90.2,54331.8,32599.1,108663.7,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2017,51.9,91.8,64047.6,38428.6,128095.3,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2018,52.9,93.1,74211.1,44526.7,148422.3,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2019,52.2,93.6,75330.4,45198.2,150660.7,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2020,51.7,96.8,77044.2,46226.5,154088.3,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2021,51.4,95.1,86877.6,52126.6,173755.3,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2022,51.7,92.9,96489.7,57893.8,192979.3,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2023,52.1,95.5,113308.9,67985.3,226617.7,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
Technology,Latin America,2024,51.6,92.8,122365.8,73419.5,244731.7,390,10,291,23175225.0,1277.0,56.918437499999996,74.246875,460.253125
