country,total_data_centers,hyperscale_data_centers,colocation_data_centers,floor_space_sqft_total,power_capacity_MW_total,average_renewable_energy_usage_percent,internet_penetration_percent,growth_rate_of_data_centers_percent_per_year,tier_I,tier_II,tier_III,tier_IV,has_tier_info,num_cooling_technologies,region
United States,8.599141774063405,5.707110264748875,7.601402334583733,21.990776662357867,9.392745258631441,27.0,92.0,2.5649493574615367,5.0,15.0,60.0,20.0,1.0,3.0,North America
Germany,6.272877006546167,3.9318256327243257,5.303304908059076,19.673443715304877,7.601402334583733,40.0,92.0,2.1972245773362196,0.0,10.0,70.0,20.0,1.0,2.0,Europe
United Kingdom,6.261491684321042,3.4339872044851463,5.017279836814924,19.11382792951231,6.90875477931522,0.4500000000000028,96.0,2.0794415416798357,0.0,15.0,70.0,15.0,1.0,2.0,Europe
China,6.1092475827643655,4.61512051684126,6.90875477931522,20.030118658386467,8.987321812850125,0.25,76.0,2.772588722239781,0.0,20.0,60.0,20.0,1.0,2.0,Asia
France,5.777652323222656,3.044522437723423,4.709530201312334,18.603002309079653,6.55250788703459,40.0,91.0,1.9459101490553132,0.0,20.0,70.0,10.0,1.0,2.0,Europe
Canada,5.820082930352362,2.772588722239781,4.61512051684126,18.31532023940565,6.2166061010848646,0.779999999999994,96.0,2.302585092994046,0.0,20.0,70.0,10.0,1.0,3.0,North America
Australia,5.752572638825633,3.044522437723423,4.394449154672439,17.50439003707821,7.0909098220799835,0.2999999999999971,96.0,2.3978952727983707,0.0,20.0,70.0,10.0,1.0,3.0,Oceania
Netherlands,5.700443573390687,2.772588722239781,4.51085950651685,17.370858648025116,6.55250788703459,0.8999999999999915,96.0,2.1972245773362196,0.0,10.0,80.0,10.0,1.0,3.0,Europe
Russia,5.529429087511423,2.3978952727983707,4.110873864173311,16.811242881518265,5.993961427306569,0.1499999999999985,85.0,1.9459101490553132,0.0,30.0,60.0,10.0,1.0,2.0,Europe
Japan,5.407171771460119,3.044522437723423,4.394449154672439,17.72753358339242,6.90875477931522,0.25,94.0,2.0794415416798357,0.0,20.0,70.0,10.0,1.0,3.0,Asia
